ASV242	ASV1610	ASV1252	ASV924	ASV567	ASV2008	ASV1926	ASV437	ASV961	ASV1750	ASV714	ASV240	ASV1096	ASV551	ASV246	ASV340	ASV927	ASV218	ASV398	ASV1298	ASV1677	ASV1646	ASV193	ASV436	ASV2070	ASV3004	ASV344	ASV2439	ASV268	ASV53	ASV260	ASV266	ASV2301	ASV146	ASV134	ASV28	ASV362	ASV749	ASV1785	ASV1815	ASV511	ASV26	ASV9	ASV592	ASV205	ASV561	ASV339	ASV1638	ASV800	ASV86	ASV2095	ASV460	ASV704	ASV3002	ASV3252	ASV2169	ASV782	ASV2015	ASV1775	ASV1236	ASV4126	ASV16	ASV219	ASV487	ASV1604	ASV965	ASV234	ASV1242	ASV850	ASV2497	ASV235	ASV338	ASV103	ASV1045	ASV395	ASV403	ASV887	ASV435	ASV4059	ASV1580	ASV1163	ASV448	ASV1766	ASV196	ASV784	ASV78	ASV506	ASV3237	ASV1654	ASV58	ASV682	ASV176	ASV3776	ASV322	ASV3223	ASV972	ASV302	ASV400	ASV707	ASV2188	ASV227	ASV79	ASV541	ASV3275	ASV691	ASV1574	ASV201	ASV115	ASV25	ASV1319	ASV23	ASV621	ASV797	ASV3088	ASV7	ASV969	ASV1781	ASV179	ASV100	ASV15	ASV31	ASV76	ASV122	ASV2010	ASV827	ASV1	ASV63	ASV391	ASV38	ASV4	ASV1603	ASV956	ASV116	ASV1567	ASV2116	ASV723	ASV217	ASV925	ASV407	ASV5542	ASV3382	ASV95	ASV277	ASV417	ASV3160	ASV1565	ASV75	ASV77	ASV159	ASV858	ASV2167	ASV649	ASV198	ASV3041	ASV269	ASV560	ASV106	ASV46	ASV249	ASV467	ASV1271	ASV3371	ASV285	ASV786	ASV2084	ASV954	ASV35	ASV1780	ASV1630	ASV1307	ASV283	ASV3322	ASV891	ASV443	ASV462	ASV287	ASV557	ASV3179	ASV478	ASV42	ASV794	ASV1178	ASV1161	ASV683	ASV13	ASV203	ASV1710	ASV415	ASV343	ASV1884	ASV32	ASV3060	ASV351	ASV2114	ASV140	ASV85	ASV1592	ASV230	ASV250	ASV1566	ASV1578	ASV767	ASV194
KF19Q2	0	0	8.33	6.33	29.33	0	10	13.33	9	0	4	10.67	0	0	15.67	16.33	41	12.33	15.67	17.33	15.33	0	40.33	44.33	0	0	6.67	1	10.33	4.33	0	7.33	4.67	18.67	33	3.67	5.33	0	16.33	3.33	0	43.67	76.67	29.33	0	0	108.67	11.67	0	44	0	0.67	11.33	0	4.67	32	16	28.67	7.33	26.67	0	62.33	0	0	35	13.67	15.33	7	0	3.33	1	0	12.33	0	9.33	8.67	0	0	0	57.33	1.33	0	15.33	52.67	0	25.33	10	0	0	52	0	4.67	0	6	5	0	0	20.67	8	5.67	0	0	2.33	0	0	10.67	17.33	33.67	93.67	0	37	18	0	6.67	120.67	10	0	27.67	0	33.33	35	40	0	22	76	308.33	0	3.33	0	97.67	27.67	198	50.67	33.33	0	12	6.33	14.67	28.67	0	6	0	0	17.33	0	13.67	50	61	50.67	2.33	0	0	36	0	8	4.33	17	0	17.67	0	10.67	4	0	23.33	0	0	15	0	0	11.33	22	0	5.67	0	3.33	16.33	0	13.67	2	41.33	4.33	0	5	3.67	110	0	9.67	4.67	0	11	35	43.33	0	0	36.67	40.33	22.67	0	18.33	0	38.67	6.33	31
KF19Q4	0	0	7.33	16	14.67	3	4	8.33	12.33	6.33	7.67	9.33	0	2	13.67	16.33	22.67	36.33	17.33	30	25.67	19.33	59.33	47	11	11	0	1.67	33	41.33	2	14	14.67	4.67	49	13.67	12	0	16.33	19.33	10.67	72.33	85	15.33	0	0	13	12.33	0	35.33	2.67	9	14	4	2	13.67	17.33	11	13	13.67	0	72	0	0	20	30.67	18.33	2	1.33	1.33	18	2.67	0	25	51.67	31.67	9.33	6	0	17.33	4.67	0	4	27.33	3.33	33	5	0	24.67	39.33	12.33	13.67	0	10	7.33	5.33	0	26.67	27.67	7.33	0	39.67	4.67	10.67	0	38.67	18.67	44.67	83.33	13	36.33	4.33	8.33	7.67	107.33	43.33	0	226.33	0	49.67	44	39	8.33	24	37.67	178	0	0	16.33	85.33	15.33	152	72	24.67	6	14	10.33	11	44	12.33	4.67	0	0	11.33	9	35.33	52	83.33	39	2.33	4.33	1.67	54	0	47.67	12.67	15.67	57	15.67	0	21.33	0	0	32.67	7	2	52.33	0	25.33	21.33	34	11.67	8.33	0	10	20.33	0	4	0	46.33	11.67	0	5	8.33	188.33	0	0	16	0	24.67	78.67	15.33	2	5.33	0	30	89	33	38	33	35	25.33	42
KF19Q5	0	0	8	16	16	7	4.67	20.33	10.67	3	4.33	17	2	7	16.67	15	17	44.33	11.67	29.33	5.33	21	95.33	23	0	5.33	15.67	0	27	53	0	15.67	6.67	12.67	39	8.67	9.67	0	12	42.33	6.33	52	70.33	9.67	6.33	6.33	49	11	0	31	6.67	16.67	12.67	18.67	6	13	13.67	4	20.33	11.67	0.67	103.67	0	0	22.67	38.33	21	10.67	5.67	3.33	21.67	6.67	19	14.33	21.67	18	8.67	12	0	0	1.67	0	15.33	31.33	16.67	23.33	8.33	0	40.67	0	19	18	0	27.67	0	8.33	9	23	15.33	13	4.67	27.33	1.67	0	3.33	21.33	35.33	39	79	11.67	37.67	5	4.33	0	125.33	45	1.33	172	12	60	53.67	48.67	0	17.67	5.33	314.33	0	0	12	98	24.67	34.33	43.67	7.33	13	7	14.33	7.33	36.33	0	3.67	0	6	0	0	23	65.67	35.33	35.67	2.33	2.67	2	30.33	0	36.67	7.33	47.33	38.33	8.33	3.33	32.33	1.33	9.67	25.33	7	0	40	6.33	0	12	36.33	15	3.33	2.67	8.33	24.67	6.67	10.33	4	55.33	8	0	7	9	116.67	0	19.67	18	13	10.67	81.67	14.67	4.33	8	13.67	20.67	48.33	0	27	0	39.33	17.67	32.67
KF19Q7	0	5.67	8.67	17.33	7	4	2.33	0	7.67	21	19	25	0	19	11	7	6.67	30	14	20.33	23.33	8.67	52	43	8.67	16.67	20.67	1.33	33	55	6.67	19	20.33	13.67	16.33	17	3	2.67	8.33	22.33	15	29.67	61.33	15.67	19.67	0	15	10	8.67	35.67	1.33	14.33	10.33	20	7.33	10.33	10.33	1.33	12.33	5.33	1	83	0	0	5	35	23.33	6.67	4	0	19.67	8.67	0	4.67	20	9.67	5.67	4	0	12.33	7.67	3	8.67	19.33	8.67	23.33	10.67	10	37	61	44.33	36	0	37.33	24	13.33	4.33	16	4.67	5.67	1.67	22.67	10	7	0	0	17	26.33	73.67	2.67	22	2	5.33	20	106.67	29	8.33	100.67	33.33	42.33	33	25	2	4.67	21	409.33	0	5	0	32	13.33	78.67	40.33	0	6.67	6.33	4	0	27	0	9.67	0	0	0	8.33	34.67	78.33	56	34.33	4.33	1.67	2.33	22.67	0	35.33	3.33	14.33	18.67	9	10.67	26	0	12.33	23	4.67	3.33	36	23	16.67	11.67	38	2.33	9.33	2	4	22.67	2.33	12	0	73.33	7	0	14.67	6	136.67	4.33	13	19	14	7.67	58.33	7.67	14.67	15.67	34.33	27.33	37.67	22.33	17	13.67	12.67	7	19.33
KF19Q9	0	25.33	11.67	28.33	13.67	5	11	17.33	6.67	7	19.67	31	12	26.33	15.67	6.33	6.67	40.33	11.33	14	31.33	12	76.67	55	6.67	14	29.67	1	40.33	61	1.67	41.67	30.67	10	13.67	11	6.67	0	6.67	11.67	17.67	23	18.67	3.67	21	9.67	27.33	17	7.33	24.67	4.33	7	11	25	5.67	11.33	13	2	6.67	6	3	112.67	4.33	0	20.67	33.67	24.33	4	1.67	2	23	14.33	17.67	11.33	16	14.33	11.67	5	0	3.67	4.67	6	14	21.33	1.33	23	6.67	28.67	36.67	41	56.33	48.67	0	33.67	31	14.33	0	15.33	2.67	3	6.33	52	7	0	9	5	19	33.67	71	0	22	5.33	3.33	6.33	103.67	39.67	0	100.67	32.33	55	34.33	42.33	8.67	0	0	371.67	0	0	12.33	38	14.67	16.33	40	0	12.67	0	12.33	5.33	19.33	0	11.33	0	0	0	0	18.33	103.33	31.33	36.33	9	0	9.33	16.33	5.67	31	0	5.33	27.33	11	8.67	30.67	0	35	12	9.33	0	58	28.67	28	8	53	10	17	13.67	17.33	28.33	13	23.33	5.67	93	5	8.67	1.33	15.67	145.67	18	8.33	24.67	22.33	2.67	63	9.67	21.67	6.33	10	25.67	52.33	22.67	30.67	22	0	8.33	28
KF19Q10	6	16	12.33	32.33	14.33	3	11.33	0	5.67	11	21.67	23	6	17.33	17.67	7.33	3	40	15.67	16.33	32	29.33	96.67	98.33	0	51.67	17.33	1.33	35.67	56.33	0	27.33	24	7	14.67	12.33	8.33	3	14	31.67	12.33	78.67	83.67	14	22	4	41.33	10	11.67	39.67	2.33	12	12.33	25.33	12.33	11	16.67	10	35	4.33	4.67	58.67	0	0	20	31.67	28	3	0.67	7	51	16.67	15.33	28.33	69.33	23	11.67	13	0	16.33	21.67	0	22.33	38.33	12.33	41	22	7.33	29.33	35	47.67	45	4.67	26	30	8	15.67	39.33	18.33	7.67	14.33	44.67	9	5	3	12	37.33	44	146.67	6	31.33	6.33	28	53.67	123	43.67	11.67	210.67	34.67	68.33	64.33	46.67	10	12	4	718.67	0	10	20.67	83	10.67	22.33	49.33	0	16.33	0	9.67	6.33	29.33	23.33	4.33	0	5.67	0	0	65.67	92.33	90.67	47.33	3.67	15	0	25	0	41	14.67	47	29	7.33	14.67	26.67	9.67	18.33	23.67	8	0	85	15.67	6.33	7.33	51	7.33	12.33	13.67	11.33	30.67	14.67	13.67	8	78	0	3.67	29.33	27	245	19.67	16	28.67	21	6.33	98.33	0	22.67	26.67	69.33	66.33	75.33	34	40.33	18.67	29.33	8.33	31.33
KF19Q11	0	14.67	9.33	33	14	4.33	5	10.67	6.33	8.67	11.33	15	4	10.67	13.67	8	15.67	48.33	21.33	11.67	41.67	50	153	83.33	8.67	44.67	9.33	1	45.33	49	0	32.33	18	23	16.67	14.33	17	0	2	44	17.67	32	53.67	4.67	12.33	8.67	39.33	12	10	50	7	9	10.33	27.67	3.33	2.33	21.33	17.33	34.67	1.33	1.67	78.67	0	0	15	17	32.67	3.33	5.33	0	11	11.33	16.33	17.67	28.33	12	8	11.33	0	4	0.67	6.67	31.67	40.67	14.67	16	2.33	8.33	35.67	40.67	36.67	33.67	0	21.67	20.33	5.33	0	18.67	7.33	1.33	0	47	6.67	0	7.33	13.33	27.67	52.33	67.67	0	32	10	0	0	127.33	32.67	0	179.67	44.67	51.67	66.33	50.33	6.33	0	0	276	0	0	30	87	13.67	7.67	59.67	0	7.67	5.33	5.67	10.33	28.33	25.33	5	0	5	0	0	22	80.33	40.67	38.67	5	3.67	7	17	19.67	40.67	5.67	27.33	33.67	16	4.67	15.33	0	28	24	7.33	2	79	9.33	21.67	0	47.67	7	13.67	20.33	4	31.67	6.67	15.33	7	76.67	1.67	4.67	3	12.33	168.67	19.67	29.67	34	10	9	94.33	35	5	7	6.67	18	83.33	17	35.33	51	52.33	21	59.33
KF19Q12	11.67	19.33	11.67	32	15.33	7.33	6.33	10.33	6.67	10.33	17.33	20.67	8.67	18.67	19.67	10.33	3	40	18.33	12	25.33	35.33	93.33	124.33	10.67	47	21	0	43	67.33	0	32.67	35	16.67	16	13	11.33	4.67	12	20	20.67	38.67	100.33	11	6.67	10	29.33	11	17	46.33	11.33	12	17	28.67	9.33	12.33	20.67	5.33	13.67	2.67	1.67	27	2.33	0	9.67	33	35.33	7.67	3.33	6	32.67	17	10.33	7.67	44	10.67	13.33	11.67	0	27.33	22	7.33	34.67	24.67	9.67	25.67	17.33	12.67	29.67	20.33	45	51	1.33	26.33	27	7	0	23.67	10.67	14	3.67	38.33	8.67	7	7.33	10	35	43	119.67	0	34.67	8.67	9.67	35	133.67	36.33	13.33	171.67	45.33	75.67	53.67	60	10	9.67	11.67	480.67	0	7	12	73.67	29	157	43.67	21	13.33	3.33	16.67	6	23.67	29.67	5.33	0	0	0	8	78.33	116.67	87	53.67	8.33	17.33	9	30.33	15	38.33	8.67	99.67	30	27.33	7.33	23.67	2	29	25	10.67	5.67	83	11	12.67	2	58	8.67	19	16.67	13.33	37.33	14.33	9.33	2	62.67	1.67	4.33	31.33	17.33	208.33	23	19	38.33	23	0	81	0	17.67	22.67	34	50.67	54.67	20.33	35.33	49	23.33	15	45.33
KF19Q13	20.33	5.33	10.33	30.67	17.67	2.67	4.67	21.33	6.67	2.67	23.33	16.67	7	13	17.33	6.67	3.67	78.67	27	10	26.67	31.33	152	61.33	3.67	39.33	20	0	42	83	1	35.33	44	13	19	16.67	31.67	3.33	6	32.67	25.33	61	88.67	0	25	13.67	47.67	11	13.67	51.67	7.67	14.67	16.67	38.67	10.67	12.33	28	5	33.67	6	0	0	2	0	12	29	37.33	4	5	0	11.67	17.67	22.67	15.33	21.67	9.67	14.33	16.67	0	31.33	0	0	35.33	39.67	15.33	30.33	7.33	9	40	39.33	76.67	84.67	2	36.33	35	10.67	13	28.33	0	8	0	50.33	12.33	14	9	16.67	39.33	48.33	60.67	4	51	16.67	0	6.67	136.33	42	1	124	43	117.33	75.33	60.33	5.33	4	22	300.33	0	3.33	38.33	156	16	13.67	43	0	16	6	18	8.67	25.33	13.67	10.67	0	7.67	4.67	0	37	97	40.33	39.33	4.33	7.67	10	27.33	21.67	26.33	4.67	19.33	36.67	32	10.67	11.33	9	33	28.67	8.33	0	75.67	9.67	7	1	32.33	4	22	20.67	13	33.33	9.67	14.33	3	114	1.33	1.67	0	9.67	133.33	16.67	30.67	34	28.33	0	78.67	33.33	26	18.67	2.33	10.33	26	0	22.33	36.67	42.67	9	41.67
KF19Q14	0	7.67	12	40	15	5.33	13.67	6.67	6	4	28	21.67	6.67	11.67	13.67	1.67	0	49	22	17.33	28.33	24.67	102.67	76.67	16	33.67	21.67	1.33	48	53.67	0	37.67	43	5.67	3.67	5	7	0	10	35.33	20	54.33	56.67	9.67	22.33	15	44.67	4.33	12.33	47.67	10.33	6.67	19	37.33	14.67	10.67	35.67	5	34.33	2.33	1.67	0	2.33	0	15	13.33	51.33	3	1	3.33	20.67	13.33	36.67	15.67	41.33	8.67	9.33	16.67	0	9.33	8	3.67	35.67	41.33	7.33	13	11	15	39.33	69.33	50.67	81	1.33	55.33	30.67	15	10.33	28	6.67	4	0	33.67	12.33	5.33	9.67	10.33	30.67	40.33	75	6.33	24.33	4.67	3.67	0	92	28	0	155.33	47.67	84.33	49.33	44	6.67	0	0	376.67	12.67	11	43.33	64.67	12.67	25.33	48.33	20	16	2.33	5.67	3.67	21.33	11.33	0	0	7.67	0	0	55.67	86.33	36.33	41	18	11	2	20.33	24.33	24	2.33	3	34.67	6.33	9.33	11.67	0	39.67	20.33	8	8.33	73	19.33	9	0	38.33	2.67	13.33	23	18	32	4	0	9.67	138	0	6.67	8.67	20	187.33	30.33	26.67	31	28.67	0	76	28	18	13.67	0	22	29.67	18	29	18.33	24.67	13.33	52.67
