ASV242	ASV1610	ASV1252	ASV924	ASV567	ASV2008	ASV1926	ASV437	ASV961	ASV1750	ASV714	ASV240	ASV1096	ASV551	ASV246	ASV340	ASV927	ASV218	ASV398	ASV1298	ASV1677	ASV1646	ASV193	ASV436	ASV2070	ASV3004	ASV344	ASV2439	ASV268	ASV53	ASV260	ASV266	ASV2301	ASV146	ASV134	ASV28	ASV362	ASV749	ASV1785	ASV1815	ASV511	ASV26	ASV9	ASV592	ASV205	ASV561	ASV339	ASV1638	ASV800	ASV86	ASV2095	ASV460	ASV704	ASV3002	ASV3252	ASV2169	ASV782	ASV2015	ASV1775	ASV1236	ASV4126	ASV16	ASV219	ASV487	ASV1604	ASV965	ASV234	ASV1242	ASV850	ASV2497	ASV235	ASV338	ASV103	ASV1045	ASV395	ASV403	ASV887	ASV435	ASV4059	ASV1580	ASV1163	ASV448	ASV1766	ASV196	ASV784	ASV78	ASV506	ASV3237	ASV1654	ASV58	ASV682	ASV176	ASV3776	ASV322	ASV3223	ASV972	ASV302	ASV400	ASV707	ASV2188	ASV227	ASV79	ASV541	ASV3275	ASV691	ASV1574	ASV201	ASV115	ASV25	ASV1319	ASV23	ASV621	ASV797	ASV3088	ASV7	ASV969	ASV1781	ASV179	ASV100	ASV15	ASV31	ASV76	ASV122	ASV2010	ASV827	ASV1	ASV63	ASV391	ASV38	ASV4	ASV1603	ASV956	ASV116	ASV1567	ASV2116	ASV723	ASV217	ASV925	ASV407	ASV5542	ASV3382	ASV95	ASV277	ASV417	ASV3160	ASV1565	ASV75	ASV77	ASV159	ASV858	ASV2167	ASV649	ASV198	ASV3041	ASV269	ASV560	ASV106	ASV46	ASV249	ASV467	ASV1271	ASV3371	ASV285	ASV786	ASV2084	ASV954	ASV35	ASV1780	ASV1630	ASV1307	ASV283	ASV3322	ASV891	ASV443	ASV462	ASV287	ASV557	ASV3179	ASV478	ASV42	ASV794	ASV1178	ASV1161	ASV683	ASV13	ASV203	ASV1710	ASV415	ASV343	ASV1884	ASV32	ASV3060	ASV351	ASV2114	ASV140	ASV85	ASV1592	ASV230	ASV250	ASV1566	ASV1578	ASV767	ASV194
YL2	9	49	21	76.67	11.67	20.67	0	19	6	6.67	24	47	2.67	4.33	11.33	0	22.67	39	14	8.33	44	32	32.33	76	29	71	11.33	2.67	38	20.67	25.33	63.67	23.33	4.67	14.33	13	18	11	8.33	8.33	2.33	77	115	0.67	2	5.33	21	2.33	7	57.33	23.33	12.33	11.67	93.33	15.33	14.67	31.67	11.33	30	5.67	2.67	80	19.33	28.67	16	67.33	34.67	9.67	2.67	9	5	37.67	33	9.33	1.33	9.33	15.67	4.33	37.67	51	0	2	7.67	37	9	29	18.33	19	9	61.67	17.67	101	12.33	29.67	23.67	6.67	0	11.33	6	2.67	7.33	71	17	18.33	2	10	29.33	41.67	41	5.33	40.67	0	6	7	146	80.67	87	272.33	11.67	49.33	55.33	116.33	7	0	35.33	70	95	0	12	59.33	20	7.67	67.33	0	6.67	1.67	27	14.33	82.67	61.33	13.33	51.33	74.33	24	18	85	98.67	50.33	46	10.33	4.67	5.33	6.67	31.33	22	4.33	56	12.33	5.67	1.67	2.33	8.67	59	3.67	2.67	18.33	75.33	41	12	11.67	72.33	13	15.67	27.33	8	31	21.33	10.67	23.67	107.67	3.33	38.33	7.33	17.33	131.33	48	0	29.67	14.67	6	51.33	0	10.33	18.67	0	5.67	10.67	6.33	46	28.33	33	3.67	76.33
YL4	10	42.67	15	79	11	17	9.67	31.33	2.67	7.67	14	53	6	6	16	6	25.33	21	12.33	13.33	45	23.33	34	49	18	51.67	5.67	0	41.33	17.67	12.33	63	24.67	8.33	10	8.33	39	10.33	25.33	14.33	11.67	97	130.67	1.33	2.33	4.67	13	3.33	3	44.33	16.33	7.67	7.67	70.33	7.67	11.67	20	5	33	7	3	31	14.67	15.33	0	46	29.33	4	0.67	8	16	27.67	13.33	11.67	14	6	10.67	3.33	25	45.67	3	5	9.67	40	0	57.33	77.67	24.67	21.67	64	16.33	105.33	18.67	26.33	24.67	8	0	27.33	18	14	17.33	47.33	14	15.67	0	41.67	26.33	52	68	2	35.67	0	38	31.67	147.67	62.67	43.33	166.67	10	51	57.33	101.33	17.67	47	45.67	805.67	86.67	36.33	18.33	60.67	33	64.33	53.33	19.33	0	3.33	27	3.67	56.33	46.33	4	47	46.33	22.67	38.67	88.67	99.33	87.67	38.67	14.67	2.67	6.67	22	15.67	29.33	10.33	39.33	5	44	0.67	0	11	53	6.33	0	14	72.67	44.33	14	14.33	68	18	5.33	23.33	19.33	22	15.67	15.67	34.67	101	4	39.33	47.33	22.33	131.67	39	0	30	24	13.33	73.33	18.33	12.33	7	9.67	23	15.67	0	33.67	35.33	38.67	2.33	58.67
YL5	9	51.33	23.33	95	25	20.33	9.67	45.33	4.67	5.33	19.33	37.33	8	8.33	7	0	31.33	29.33	12.67	18.67	66.67	36	54.67	97.33	27	57.33	18.33	3.33	57.67	18.67	11.33	80	39.33	19.67	3	8	26.33	4.33	6.67	4.33	18.33	36.67	105.67	1	1.67	4.67	11.33	1.67	8.33	41.33	11	12	13.67	97	12	14	26	6.33	22.33	2.33	5	42.67	11.67	18	0	77	27.33	7.67	4.33	6	7.33	24	26.33	7	4.33	5.33	26	8	10.33	7	0	5	15	47.33	0	28.33	22.67	17	16	70	10.67	100.67	9	27.67	17.67	7.67	31	15.67	0	2.67	0	74.33	20	19	6.33	14.33	29	38	40.33	4.33	20	0	9	0	126	47.33	26.33	133	15.33	45	33.67	97	13.67	0	5	158	48	0	5.33	41.33	23	10.67	73.67	6.33	0	7	31.67	20.67	75.67	57.67	21	62.33	84.67	77.33	5.67	78.67	135	68.33	40.33	18.33	19.33	10.67	9.33	37	33	6	22	10.67	3.67	2	0	13.33	102.33	16.33	2	22.33	76.67	21.33	17	20.33	101.33	21	23.33	35	13	21.33	23.33	0	33.33	85.67	5	39.67	4	21.67	178.33	58	13.33	38	18.33	10.33	75.67	14.67	19	16.33	0	3.33	10.33	0	38.67	25.33	53.33	3.67	93
YL7	4.33	35.67	17.67	94	16.67	7	11.33	19.33	2	1.33	13.67	45	0	4.67	11.67	0	19	17	13.67	24.67	67.67	29	65	71.33	17.33	42.67	3.33	1.33	44.67	7.67	5.67	62.33	14.33	7.33	0	4	3.67	3.67	3	0	10	0	85	1.67	0	3	11	2.67	5	50.33	8.33	6.33	11.67	71.67	11	13	30.67	9.33	21.33	8	2.33	18.67	9.33	16.33	0	25.67	26	8.33	0.67	0	1.67	14	13.33	9	4	0	12	3.33	10	20	0	1	12.33	37	3.67	24.67	14.33	6.67	21.33	50	6.33	67.67	7.67	12.33	15	5.33	0	6.67	17	2.33	5	57.67	16.33	16.67	0	4.33	23	35.33	41.67	0	14.33	0	6.67	10.67	108.33	31.67	9	70	5	31	42.67	50.67	7.33	9	80.33	163.33	56.33	8.67	13	18.33	21.33	80.67	51.33	14.33	6	4	22.67	4.33	75.67	61	13.33	60	64.67	20	33.67	79	76	53.33	33	4.67	6.33	14	10.67	17	27.67	6	6.67	15.67	0	0	0	10.33	52	6.33	1.33	8	53.33	0	6.67	10.67	73	3.33	11.67	23.67	4.33	25.33	8.33	0	10.33	90	1.33	24.67	7.33	22.33	135.67	30	8.67	24.67	16.33	6.33	48.33	0	0	18.33	0	14.33	15.33	0	26.33	29	37.33	1.67	98.33
YL9	3.33	24.67	11.67	49.67	25	16.67	34	32.33	5.33	1	7.33	33.67	7.67	9.33	13.67	1.33	27.33	16.67	7.33	10	36.33	15	42.33	28	9.67	49.67	7.67	1	41	11.67	7.33	47	13	4.67	3	4.67	43	3	10.33	14.33	0	53	88.67	0	2.33	4.33	7	0	0	35	8.33	6.67	11.67	65	2.67	8.67	16.67	7.67	26.67	5.33	0	77	7	0	5	41.67	16.67	3.33	0.67	5	4.67	19.67	23.67	5	3.67	2.33	14.33	3.67	36.33	222.67	2	2.33	4.33	37.33	4	16	17.67	16	18.33	68.67	9	56.67	7	15	10	6.33	19.33	4.67	12	3.67	10.67	21.67	8.67	11.67	0	2	26	24.67	42.33	7	29	6.67	3	3.33	119	68.67	40.67	144	4	35.67	40.67	47	4	9.33	86	241.67	86	10.67	17.67	60	27.67	77.33	51	12.67	7.33	12.33	23	9	44	28	19.67	67.67	45	48.33	7.33	60.33	69.67	47.33	31.67	11.67	0	7.33	27	15	25.33	8.33	72.67	7.33	28	0	2.67	6	38	3.33	1	2.67	41.33	27.67	11.67	12	58	12.67	7	18.67	0	11.33	20.33	0	15.67	73	0	37	41.67	13	92.67	36	14.33	17.67	8.67	6.33	49.67	11.67	10.67	0	0	14.33	11.33	0	38.33	13.33	29.67	0	44.33
YL10	3.33	39.33	12.67	67.33	26	8.33	12	17	3	1.33	14	30.33	0	2	19.33	3	26.33	30.33	12	17.67	61	22	75.67	39.33	15.33	32	11.33	0	30.67	6.67	8.33	65	7.33	4.33	6.33	4.33	25.67	13.67	10.67	28.33	6.33	87.67	113.33	1	0	0	5.67	2.33	3.33	47.67	15	6.33	8.33	69.33	7.33	16.33	23.67	6.33	17.33	7.33	0.67	40.67	3.67	10	5.67	28	20	4.67	0	8	6.33	18.67	37.67	2.33	6	1.67	18.33	1.33	35.33	115	11.67	1.33	10.33	35.67	3.33	20.67	19.33	10.67	15	43.33	4	46	6.33	7	3.33	6.33	25	8	11	5.33	0	56.67	8	12.67	0	5.33	19.67	24.33	40.67	5.33	37.33	5	11.67	5.33	114	50	41.33	149	6.33	38	55.33	0	8.67	11.67	43	173	91.67	8.67	22	27.67	36.33	83	46	4	0	19	38.67	8.67	63.67	51.67	4	57.33	72.67	18.67	31.33	86	69.33	56	34.67	4.67	0	12.33	11.67	29.33	15.33	12	27.67	0	62.67	1.33	0	5	40.67	5.67	6	13	52	13.67	9.33	11	66.67	4	14	16.33	6	19.33	5	0	5.33	55.67	0	30	23.67	20.33	145.33	25.67	0	34.67	6	9.33	67	9.33	10.33	20.67	7	38.33	6	0	28	32	35.33	2.33	62.33
YL11	3.67	49.67	18.67	64.67	26.67	30.33	50.67	19.67	4.67	4	6	62.67	9.67	2	10	3.67	24	13.67	15	43.33	126.67	34.33	122	66	25.33	47	9	3	39	15.33	9.33	84.33	23	25.67	5	4	31.67	10.33	7.33	37.67	20.33	0	124	1	6.67	9	18	6.33	2.33	46	13.67	15	14.67	54.33	10.67	14.33	23.67	7.67	23.33	7	5	84.67	12.33	7	20.33	69.67	31	9.33	0.67	1.67	0	19.67	28.33	0	4.67	2.33	29	7.67	20	541	1.33	4.67	12.33	33.67	2.67	19.67	23	22	12	78.67	11.33	68	4.67	19.33	18.33	16	36.67	18.33	10.33	2.33	4.33	56.67	11.33	18.67	0	3	21.67	32	38.33	2.67	40	5	6	17.33	114.67	40.67	40	109.67	18.33	46.33	40.33	0	12	0	132.67	283	102.33	29.33	27	50.33	49.33	186.33	47.33	19	11	13.67	16.33	0	42.67	42	20.67	54.33	66	15.33	8	58.33	79	61.67	38.33	14.67	7	8.67	10	0	21.67	3.67	54.33	0	60.67	0	0	5.33	50.67	8	1	8.67	71.33	22.33	8.67	16.67	95	18.33	29.67	22	9.67	23.33	31	15.67	19.67	74.67	0	34	23	18.33	146.33	43.33	16	25.33	0	10	73.33	12.67	15	8.33	15.33	57.67	16.67	0	41.67	29	40	4.33	75.67
YL12	5.67	35.67	13.33	83.67	26.67	19	15.67	55.33	4.67	2	3	42.33	11.67	3.67	16.33	2.33	29	30.33	20	40.67	92.67	37.67	102	111	31.33	45	7.33	4.33	32	10.67	8.33	74	13.33	9.67	13	4.67	25.67	13.67	5	37.33	15	62.33	102.67	1	0	3	17	3.33	1.67	45	14.33	11.33	20	59.67	6.33	10.33	23.33	12.67	22.33	6	3.33	35.33	13.33	21	5.67	47.67	24	8	1.67	4	8.67	25	34.67	8.33	7.67	5.33	15.33	6.33	29.33	203.33	2	6.33	14.33	35.67	4	21	25.33	11	16.67	66.67	9	62.33	8	17.67	13	7.33	24	14.33	17.67	8.67	7.67	65.67	17	19	2.67	9.67	28	43.33	41.33	7.67	47.67	0	13.67	20.67	154.67	52	62.67	117.67	23.33	61	49.67	35	7.33	0	30.67	298.67	101.33	16	18.67	37.67	25.33	76	63.33	26.33	9.67	7.67	32	9.67	62.33	61.67	26.67	63.67	89.33	72.33	0	93	80.67	68.33	45.33	13.67	8.33	7.67	16	31	17.67	8	87.67	12	43.33	1.33	2	10.67	50	7.67	3	18	74	29.33	10.33	16	88.33	17.33	23.33	25.67	3.33	22.33	18.33	5	14.67	58	2	31.33	46.67	27.67	171.33	45.33	9.33	43.67	17.67	13.33	72	16.33	16.33	22	2.33	20.33	15	10	48.67	43.67	42	3	106
YL13	7.67	37.67	7.67	52	24.33	9.33	9.33	40.67	2	2.67	17.33	47.33	3.33	6	11.33	0.67	32	20	7.33	15.33	32	19.33	34	38.67	29.67	49.33	3.67	0	39	9	7.67	52.67	9.33	18.33	9.67	7.67	24	8.33	10.33	21.67	4.33	59	112.67	1.33	0	3	14.33	1.33	2.67	33.67	11	4.67	14.33	70	7.33	11.67	19	9.33	19	5.33	3	124.33	9.67	18	6	57	19	5	0	5.67	5	15.67	34.33	2.67	3	6	13.67	8.33	29.33	46.33	2	1.33	12.67	37	2.33	23.67	32	11.33	19.67	59.67	8	80	9	18	13	13	28.33	17.33	16	7.67	5	58.33	12.67	8.33	0	6.67	27.33	33	45.67	4.33	25	2.33	2	16	130.67	37.33	53.33	109	6.67	37.67	35.33	0	0	12.33	25	290	78	19.33	23	58.67	21.67	18	52	10	5	11	36.67	7.33	52	35.67	8.67	52.33	75.67	50	28.67	97	69	61	35.67	3.67	3	9.67	6.33	25	18.33	13	51	7	32.67	0	0	10.33	39	5	1.33	5.67	45.33	8	7.33	7.33	70.33	9.67	15	24.67	0	17.67	12.67	6	15.33	92.33	3.33	51.67	3.33	15	126	33.33	0	30.67	12.33	8	57	17.67	6.33	12.33	4	14.33	16.33	0	30	18.67	30.33	1.67	57.67
YL14	4	41	8	69.67	33	20.33	28.33	48	5	4.33	11.67	40.33	8	6.67	9.67	1	25.67	15	12.33	19.33	60.33	15	49	42.67	34.67	34	9.33	1.67	33.33	8.67	5	61.67	11.33	11	2.67	0	26.33	7.33	3.67	6	8.33	0	79.67	0	0	2.67	9.33	5	1	52	11.67	6	12.33	84.67	10	16.33	28.33	11	19.67	3.67	0	70.33	8.33	22	0	55	19.67	7.33	0.67	8	5	16	22	0	4.33	4.67	16.33	5	16	75	1	7.67	8.33	23.67	0	8.67	20.33	15	11.67	60.33	3.67	63.33	2	17.33	13	9.33	14.67	11.67	6	8.67	0	47.33	8.33	16.33	0	5	15.33	24	34	0	5.67	0	2.33	6.33	110.67	34.33	21.67	96	9.67	29	35.67	54.67	11.33	8	25.67	142.33	35.67	6.33	15.33	23.33	30.67	35.67	43	15	8.67	7.33	21.67	6.33	47.33	46.33	13.67	51.33	78.33	61.67	27.67	68.33	69	48	23	16.67	6	8.67	13	19.67	14	5.67	32.33	0	0	1	0	2.33	41.67	6.67	0	10	47	21.67	7.33	10	62.33	17.67	7.67	20.33	13.33	17.33	15.33	10	14.33	72	2	33.33	9	17.67	120.33	28.33	5	28.67	0	10	66	12	9.33	20.67	0	9.33	21.33	0	24.67	23	33	1.33	51
