Al	B	Ca	Cu	Fe	K	Mg	Mn	Na	P	Zn	N	C	Albox	Bbox	Cabox	Cubox	Febox	Kbox	Mgbox	Mnbox	Nabox	Pbox	Znbox	Nbox	Cbox	Alnorm	Bnorm	Canorm	Cunorm	Fenorm	Knorm	Mgnorm	Mnnorm	Nanorm	Pnorm	Znnorm	Nnorm	Cnorm
KF19Q2	1106.02	17.74	7944.77	13.92	1590.85	23262.7	3089.23	60.52	6383.71	3830.5	24.2	8.35	382.45	6.276747213	6.555851699	12.2386843	1.655368667	8.650400775	84.93312219	80.65784059	3.244176017	2.477078298	26.83523999	6.323832796	1.711666824	7.720619538	0.870218897	0.035411754	-0.221300119	0.752122489	1.100334419	0.324231584	0.509831534	0.526026123	1.536998056	0.934041501	1.338323635	0.859924779	-1.755955277
KF19Q4	1128.4	17.47	7968.56	7.29	1327.23	27879.7	1660.32	26.53	3320.15	1405.5	18.55	5.75	401.85	6.292742391	6.489349944	12.24407974	1.388752872	8.403899525	90.46348281	60.43595876	2.713055578	2.4527517	20.08697704	5.447933806	1.463368483	7.802472974	0.912354903	-0.049586409	-0.192363314	-1.025590291	0.829574037	1.025590291	-1.492404178	-1.826356298	0.415240161	-0.526026123	0.558839611	-0.592266244	-0.369353294
KF19Q5	1182.81	17.16	7207.38	5.63	1120.55	21357.4	2778.49	28.12	1263.36	4959.1	20.33	8.05	411.45	6.330302896	6.41237379	12.06348706	1.26225628	8.175289343	82.43776857	76.79283348	2.752279065	2.403260636	28.85973552	5.739576352	1.688167118	7.841647795	1.001915966	-0.228562415	-0.696883497	-2.002809497	0.309340999	-0.063771035	0.106413557	-1.450595047	-1.907180829	1.492404178	0.84972099	0.68788465	0.192363314
KF19Q7	845.09	17.24	6838.49	8.46	851.41	21089.15	2408.53	37.64	1576.06	3636.27	14.08	7.3	395.65	6.060900443	6.432303198	11.96945657	1.456110219	7.8077888	82.07473659	71.86703658	2.94472568	2.416288741	26.44259606	4.630719168	1.624460693	7.776714545	0.235836786	-0.206810069	-1.025590291	-0.61777576	-0.384557925	-0.120666995	-0.250423463	-0.771048869	-1.210756606	0.829574037	-0.339194414	0.301921554	-0.839604913
KF19Q9	1001.56	18.24	7492.92	7.2	1028.76	18010.96	2531.66	26.86	1349.3	3144.26	27.44	6.9	405.1	6.197381711	6.677710412	12.1332332	1.382954918	8.060485886	77.67083032	73.54988656	2.721408979	2.407255822	25.37187018	6.770470456	1.587151983	7.815830336	0.733461771	0.221300119	-0.477833997	-1.126658238	0.077968503	-0.6436938	-0.049586409	-1.693315232	-1.584876705	0.592266244	1.636691647	0.099295118	-0.142094136
KF19Q10	1069.66	17.07	7479.31	7.27	1163.06	22835.48	3286.63	27.23	1615.14	4413.25	18.9	8.45	395	6.250034325	6.389898873	12.12996563	1.387473034	8.225435798	84.38573049	83.00296331	2.730639377	2.417663657	27.92957773	5.50658524	1.719273858	7.773992696	0.809758313	-0.294518693	-0.493769569	-1.049853854	0.477833997	0.206810069	0.829574037	-1.584876705	-1.126658238	1.210756606	0.609228667	0.945051139	-0.870218897
KF19Q11	983.33	22.08	8474.78	9.67	848.2	21927.71	3577.59	38.21	2971.07	2321.53	36.4	9.85	398.5	6.182658896	7.563894986	12.3554583	1.51340223	7.802764725	83.19966164	86.32259613	2.954465102	2.447964791	23.25713598	7.858626135	1.815549145	7.788600677	0.715053038	1.536998056	0.063771035	-0.250423463	-0.430727299	0.02124421	1.126658238	-0.715053038	0.177956597	0.02124421	2.280148711	1.373839467	-0.6436938
KF19Q12	1398.51	16.48	8187.79	16.96	1805.56	20551.87	3268.28	95.53	2410.3	2687.16	16.89	7.3	393.9	6.463452559	6.241106463	12.29310349	1.724419324	8.823777003	81.33830465	82.78828592	3.516437084	2.438367813	24.25706811	5.160143791	1.624460693	7.769377133	1.338323635	-0.542359867	0.00708093	1.074751777	1.338323635	-0.163586723	0.790255566	1.536998056	-0.221300119	0.221300119	0.339194414	0.301921554	-0.956176539
KF19Q13	1676.23	19.73	9761.65	17.32	1816.42	26583.81	3396.09	83.75	1603.29	3986.79	26.62	10.65	387.9	6.606629804	7.031481366	12.61281181	1.731457769	8.832012314	88.9767301	84.27006999	3.439456956	2.417251677	27.14042224	6.660611964	1.863407417	7.743991623	2.002809497	0.696883497	0.609228667	1.210756606	1.450595047	0.809758313	0.978790275	1.126658238	-1.15378684	1.025590291	1.584876705	1.584876705	-1.338323635
KF19Q14	1049.04	19.71	8525.63	10.06	1170.76	26915.15	2256.42	51.06	1775.23	2924.89	19.29	8.45	397.6	6.234465609	7.026820937	12.36630036	1.529790655	8.234330846	89.36136375	69.72144179	3.138945303	2.422847191	24.85329767	5.571164828	1.719273858	7.784855595	0.771048869	0.678941165	0.134944991	-0.163586723	0.509831534	0.89108913	-0.542359867	0.092181706	-0.956176539	0.354233577	0.6436938	0.945051139	-0.678941165
KF19Q15	1275.97	16	8702.97	6.14	1418.81	22939.03	1778.73	32.97	1487.91	1376.62	15.45	7.1	404.35	6.390652412	6.118124322	12.40364519	1.306117249	8.494463467	84.51902709	62.410866	2.858125736	2.413005696	19.96405493	4.896174795	1.606124404	7.812756601	1.18179227	-0.733461771	0.192363314	-1.636691647	0.934041501	0.221300119	-1.411178153	-1.049853854	-1.304420071	-0.542359867	0.00708093	0.185155152	-0.192363314
KF19Q16	927.48	17.34	7543.91	11.99	1082.7	24619.77	3147.19	51	1915.02	2698.33	16.36	6.4	403.6	6.135735116	6.457151533	12.14542608	1.599600139	8.129082287	86.62891092	81.35474028	3.138209914	2.426868461	24.28595562	5.064645518	1.536655453	7.80967764	0.592266244	-0.113537393	-0.430727299	0.430727299	0.192363314	0.526026123	0.592266244	0.063771035	-0.771048869	0.250423463	0.26506362	-0.206810069	-0.26506362
KF19Q17	776.89	15.2	6796.4	5.27	789.42	24936.66	2424.31	21.94	1141.47	3534.67	9	6.15	402.4	5.99301956	5.909077103	11.95842821	1.227836737	7.707395354	87.01592181	72.08530654	2.583128681	2.396896717	26.23087044	3.47794278	1.509581768	7.804740388	0.092181706	-0.880606067	-1.074751777	-2.121279302	-0.609228667	0.558839611	-0.221300119	-2.121279302	-2.121279302	0.752122489	-1.126658238	-0.392193489	-0.309340999
KF19Q18	1626.75	20.69	10708.39	11.06	1727.61	34406.16	3148.03	48.91	2778.19	2679.91	20.99	13.6	379.25	6.583003657	7.252530737	12.7826254	1.568070632	8.763235008	97.32692507	81.36478821	3.111971503	2.444970131	24.23826988	5.843742614	2.008273804	7.706753972	1.907180829	1.049853854	0.956176539	0.149250552	1.210756606	2.121279302	0.609228667	-0.149250552	0.035411754	0.206810069	0.978790275	2.121279302	-2.121279302
KF19Q19	1100.1	18.85	9273.4	10.08	1209.68	34258.35	3131.2	54.2	2028.66	5103.11	18.13	6.75	377.9	6.27246025	6.824188944	12.51912463	1.530607313	8.278451156	97.18150782	81.16318915	3.176136543	2.429848089	29.09217209	5.376654411	1.572480392	7.700872281	0.84972099	0.446318449	0.446318449	-0.149250552	0.626368225	2.002809497	0.534175181	0.235836786	-0.609228667	1.536998056	0.493769569	0.02124421	-2.533299536
KF19Q20	1416.78	23.51	10393.56	7.23	1577.79	30762.27	2491.6	42.04	4936.82	1691.52	21.47	10.4	381.05	6.473739398	7.874378822	12.72776856	1.38489867	8.639144055	93.61351233	73.00741312	3.015958283	2.468247095	21.21187471	5.918251638	1.84893233	7.714566475	1.411178153	1.755955277	0.934041501	-1.087454134	1.074751777	1.536998056	-0.092181706	-0.509831534	1.15378684	-0.309340999	1.001915966	1.536998056	-1.907180829
KF19Q21	1725.25	19.52	11629.23	14.36	1928.71	23047.54	1822.09	73.76	7653.14	963.86	19.32	7.95	382.5	6.629336959	6.982431119	12.93483503	1.666598513	8.914503064	84.65828118	63.11590551	3.364003114	2.482797423	17.94865044	5.576099387	1.680097284	7.720835343	2.121279302	0.575472548	1.271952968	0.809758313	1.584876705	0.26506362	-1.338323635	0.912354903	1.907180829	-1.18179227	0.661214792	0.626368225	-1.693315232
KF19Q23	1298.09	21.98	11012.41	9.51	1474.17	29611.38	2370.15	45.9	3609.88	2422.84	20.1	11.5	386.3	6.404313504	7.541820329	12.83418685	1.506411557	8.546531141	92.38033588	71.33285999	3.071891656	2.45622227	23.54545499	5.702792194	1.90970743	7.737161437	1.240773954	1.492404178	1.049853854	-0.294518693	0.978790275	1.304420071	-0.354233577	-0.309340999	0.715053038	0.063771035	0.829574037	1.755955277	-1.411178153
KF19Q24	850.74	17.85	9495.49	6.88	1006.22	21186.35	1540.48	27.57	4225.42	514.62	10.85	8.05	391.9	6.066268137	6.582803135	12.56229767	1.361498412	8.030795385	82.20663249	58.35670543	2.738998424	2.462453717	14.80241061	3.935119653	1.688167118	7.760954877	0.250423463	0.056677296	0.558839611	-1.304420071	0.02124421	-0.106413557	-1.755955277	-1.536998056	1.001915966	-2.002809497	-0.809758313	0.68788465	-1.074751777
KF19Q25	824.03	21.59	8806.16	8.83	837.16	26893.08	2618.18	46.08	2768.14	3017.06	15.75	6.75	403.85	6.040561144	7.455256732	12.42504936	1.47477761	7.785345555	89.33584185	74.70562162	3.074370167	2.444806201	25.07463684	4.952367473	1.572480392	7.810704542	0.192363314	1.240773954	0.221300119	-0.493769569	-0.462018859	0.870218897	-0.00708093	-0.294518693	0.02124421	0.462018859	0.099295118	0.02124421	-0.221300119
