Al	B	Ca	Cu	Fe	K	Mg	Mn	Na	P	Zn	N	C	Albox	Bbox	Cabox	Cubox	Febox	Kbox	Mgbox	Mnbox	Nabox	Pbox	Znbox	Nbox	Cbox	Alnorm	Bnorm	Canorm	Cunorm	Fenorm	Knorm	Mgnorm	Mnnorm	Nanorm	Pnorm	Znnorm	Nnorm	Cnorm
YL2	629.8	32.99	10720.57	5.02	1283.08	16844.25	1557.95	41.92	6252.31	2017.27	32.35	14.97	413.3	25.59374703	1.154314586	11.11890387	1.435012375	44.70880762	26.50023239	207.3104145	4.138581286	175.0184941	10.06653178	2.215501021	4.563782698	85407.945	-1.492404178	1.693315232	-0.324231584	-0.934041501	-1.100334419	0.678941165	-1.100334419	-1.001915966	0.235836786	1.492404178	1.271952968	0.809758313	0.715053038
YL4	471.87	30.98	9050.91	4.01	868.18	15042.81	1180.84	41	6437.65	1596.79	28.91	14.9	411.5	22.78741579	1.150599719	10.87911071	1.255176207	37.64835925	25.85363821	171.7981986	4.111454828	177.7091666	9.67037632	2.17265868	4.551455428	84665.625	-1.907180829	1.584876705	-0.771048869	-1.411178153	-1.584876705	0.279760815	-1.693315232	-1.049853854	0.279760815	0.752122489	1.15378684	0.771048869	0.609228667
YL5	620.17	29.61	8730.25	4.73	1209.23	12160.49	1642.61	38.35	10737.23	1915	35.98	14.67	411.5	25.43646527	1.147806441	10.82821804	1.387956871	43.56218195	24.67280564	214.8763041	4.029972146	232.0470234	9.977791445	2.25479595	4.51068767	84665.625	-1.636691647	1.411178153	-0.829574037	-1.049853854	-1.18179227	-0.493769569	-0.912354903	-1.210756606	1.450595047	1.240773954	1.693315232	0.65242926	0.609228667
YL7	373.33	28.8	6697.21	2.93	710.72	8730.31	1308.75	26.91	13185.74	1695.58	19.56	13.67	420.93	20.71578682	1.146041758	10.45631139	0.99373231	34.45164872	22.92096513	184.2106849	3.602833193	258.2421225	9.771492031	2.012751408	4.328494752	88590.53245	-2.280148711	1.338323635	-1.450595047	-1.826356298	-1.907180829	-1.584876705	-1.450595047	-1.907180829	2.121279302	0.912354903	0.575472548	0.462018859	1.271952968
YL9	1309.82	45.5	11697.81	4.74	2384.1	12321.04	2033.41	80.61	12285.81	2316.6	34.65	16.8	397.33	34.17233996	1.170599964	11.2430671	1.389634071	58.54613413	24.74431726	248.2789917	4.952608541	248.9122066	10.30410462	2.241013553	4.873717423	78935.06445	-0.609228667	2.533299536	-0.120666995	-1.025590291	0.26506362	-0.430727299	-0.106413557	0.294518693	1.907180829	1.826356298	1.492404178	1.140117653	-0.309340999
YL10	1413.49	30.1	9315.45	4.13	2731.21	12667.14	1988.01	67.07	9291.59	2000.55	26.35	13.7	401.63	35.20190801	1.148832014	10.91980701	1.279124365	62.08859084	24.89591435	244.5140058	4.720770623	215.2046651	10.05231391	2.136289419	4.334082967	80652.82845	-0.399851988	1.450595047	-0.661214792	-1.304420071	0.609228667	-0.26506362	-0.250423463	-0.063771035	1.15378684	1.338323635	1.001915966	0.485786363	-0.049586409
YL11	1309.68	29.44	7427.22	4.49	2416.27	13627.47	1826.25	54.84	6364.32	2010.34	35.88	11.8	405.57	34.17091498	1.147443391	10.60100989	1.346436791	58.88662825	25.29945657	230.863467	4.469577946	176.6491345	10.06065219	2.25378254	3.963340763	82243.01245	-0.626368225	1.373839467	-1.18179227	-1.126658238	0.294518693	-0.063771035	-0.477833997	-0.430727299	0.26506362	1.450595047	1.636691647	-0.113537393	0.221300119
YL12	692.06	22.98	5660.62	2.86	1331.41	9483.02	1450.98	36.64	11320.16	1816.74	12.5	9.87	410.2	26.57527574	1.130090847	10.22233446	0.973076109	45.43844272	23.34840815	197.5551608	3.974515142	238.5254621	9.888279048	1.80645416	3.545068141	84131.52	-1.450595047	1.001915966	-2.002809497	-1.907180829	-1.025590291	-1.338323635	-1.271952968	-1.338323635	1.636691647	1.126658238	-0.609228667	-0.60072585	0.493769569
YL13	1491.66	36.58	14068.05	5.42	2767.96	12235.91	2620.46	76	12826.45	2090.6	29.87	18.6	385.37	35.94671788	1.160019677	11.5070237	1.495030067	62.44786369	24.70649474	294.7430864	4.878112206	254.5553206	10.12762184	2.185247461	5.158068496	74254.51845	-0.309340999	1.826356298	0.250423463	-0.661214792	0.626368225	-0.462018859	0.809758313	0.120666995	2.002809497	1.536998056	1.210756606	1.536998056	-1.074751777
YL14	1713.76	36.8	13925.79	5.95	3076.73	13897.73	1762.07	76.76	6958.34	1727.86	133.82	13.17	404.27	37.93538435	1.160336302	11.49243517	1.56715215	65.36207607	25.40880989	225.3387196	4.89068299	185.0741407	9.803346723	2.654314891	4.234174905	81716.61645	-0.092181706	1.907180829	0.192363314	-0.462018859	0.870218897	0.035411754	-0.6436938	0.163586723	0.415240161	1.001915966	2.280148711	0.309340999	0.134944991
YL15	812.49	28.5	6024.77	3.24	1531.03	13935.63	1021.25	39.23	8307.28	1270.47	18.75	12.03	404.73	28.32437347	1.145365087	10.30890972	1.078854107	48.29867725	25.4240054	155.6736767	4.057605874	203.0001791	9.28918977	1.994360803	4.010170692	81902.68645	-1.373839467	1.304420071	-1.636691647	-1.755955277	-0.752122489	0.049586409	-2.121279302	-1.126658238	0.771048869	0.206810069	0.493769569	-0.063771035	0.192363314
YL16	1971.96	43.79	14939.66	5.37	3514.08	18704.59	2084.48	86.25	9873.87	2650.9	33.98	20.6	359.7	40.04995381	1.168876321	11.59342195	1.487810896	69.21093738	27.11096502	252.4814575	5.038450899	222.1309784	10.5378064	2.233810989	5.453985128	64691.545	0.309340999	2.280148711	0.399851988	-0.678941165	1.15378684	1.126658238	-0.063771035	0.477833997	1.271952968	2.280148711	1.450595047	2.002809497	-2.280148711
YL17	1156.86	25.84	8165.59	4.29	1958.39	12403.81	1259.64	50.69	8344.8	1415.83	18.46	13.4	393.33	32.55338456	1.1387451	10.73406242	1.309840873	53.76140522	24.78088639	179.494153	4.372130026	203.4778159	9.469055122	1.987527218	4.277842633	77353.74445	-0.84972099	1.240773954	-0.912354903	-1.18179227	-0.279760815	-0.369353294	-1.584876705	-0.575472548	0.809758313	0.558839611	0.430727299	0.415240161	-0.609228667
YL18	2102.07	37.53	11031.81	5.82	3802.65	16296.28	2229.98	93.09	11091.82	2328.22	26.63	19.37	378.27	41.04875052	1.161362737	11.15959099	1.550164725	71.59899566	26.30980674	264.2738848	5.135699713	236.007455	10.31273955	2.140483764	5.27430859	71543.59645	0.399851988	2.002809497	-0.235836786	-0.526026123	1.411178153	0.493769569	0.177956597	0.661214792	1.584876705	2.002809497	1.025590291	1.693315232	-1.338323635
YL19	910.02	30.27	7442.61	4.22	1723.33	19365.01	1348.01	45.5	10897.54	2122.04	18.51	15.7	401.8	29.6228114	1.149180773	10.6039107	1.296567062	50.85442312	27.3158092	187.9396604	4.239038588	233.8452427	10.15320591	1.988715204	4.690186899	80721.12	-1.18179227	1.536998056	-1.15378684	-1.240773954	-0.575472548	1.304420071	-1.373839467	-0.870218897	1.492404178	1.584876705	0.446318449	0.934041501	0.00708093
YL20	1142.94	39.82	10452.19	5.25	2255.6	11117.22	1722.5	58.45	16228.48	2818.89	35.72	23.67	388.2	32.39940914	1.164359938	11.08289655	1.470165286	57.1585797	24.18826748	221.8996289	4.548829299	287.7007706	10.64507066	2.252153528	5.874243529	75349.12	-0.870218897	2.121279302	-0.430727299	-0.809758313	0.02124421	-0.870218897	-0.771048869	-0.324231584	2.533299536	2.533299536	1.584876705	2.280148711	-0.912354903
YL21	1593.88	30.24	10507.26	5.01	2967.94	11258.88	1891.39	72.69	8269.43	1551.8	25.44	13.87	393.57	36.88395171	1.149119486	11.09035701	1.433442244	64.35567494	24.25619259	236.406238	4.821938242	202.5172835	9.622385481	2.122253011	4.365601971	77448.17245	-0.192363314	1.492404178	-0.399851988	-0.956176539	0.752122489	-0.809758313	-0.415240161	0.035411754	0.733461771	0.696883497	0.978790275	0.542359867	-0.592266244
YL23	2084.78	34.75	11879.93	5.81	3695.69	12402.67	2248.73	96.47	7939.31	2321.89	39	15.77	376.7	40.91834286	1.157245289	11.26509783	1.548839988	70.72662322	24.78038408	265.7749335	5.181284668	198.2594057	10.30804065	2.283800818	4.702107841	70950.945	0.369353294	1.755955277	-0.092181706	-0.550581047	1.338323635	-0.384557925	0.192363314	0.771048869	0.661214792	1.907180829	1.907180829	0.978790275	-1.450595047
YL24	1319.95	32.36	10147.58	5.81	2417.96	10417.71	1373.76	64.31	9956.81	1756.41	26.69	16.4	421.97	34.27518995	1.153195356	11.04093448	1.548839988	58.90444212	23.84206583	190.3661349	4.668112758	223.1013186	9.831062857	2.141375199	4.807897925	89028.84045	-0.575472548	1.636691647	-0.526026123	-0.550581047	0.309340999	-1.126658238	-1.338323635	-0.149250552	1.338323635	1.074751777	1.049853854	1.074751777	1.338323635
YL25	1235.68	12.27	9555.79	7.56	2465.61	10492.11	1102.99	89.47	5710.19	972.85	22.81	8.03	406.07	33.40365024	1.066684568	10.9558277	1.747780557	59.40374467	23.87977817	164.0280451	5.085107526	166.918654	8.851829304	2.0777738	3.094002192	82445.92245	-0.696883497	-1.584876705	-0.626368225	-0.092181706	0.324231584	-1.025590291	-1.907180829	0.592266244	0.092181706	-0.575472548	0.752122489	-1.304420071	0.26506362
