RapeID	KFid	YLid
R4158	KF19Q2	YL2
R4168	KF19Q4	YL4
R4171	KF19Q5	YL5
R4177	KF19Q7	YL7
R4180	KF19Q9	YL9
R4181	KF19Q10	YL10
R4182	KF19Q11	YL11
R4187	KF19Q12	YL12
R4191	KF19Q13	YL13
R4194	KF19Q14	YL14
R4199	KF19Q15	YL15
R4202	KF19Q16	YL16
R4210	KF19Q17	YL17
R4213	KF19Q18	YL18
R4215	KF19Q19	YL19
R4218	KF19Q20	YL20
R4219	KF19Q21	YL21
R4222	KF19Q23	YL23
R4227	KF19Q24	YL24
R4229	KF19Q25	YL25
R4236	KF19Q27	YL27
R4245	KF19Q29	YL29
R4247	KF19Q30	YL30
R4252	KF19Q31	YL31
R4268	KF19Q33	YL34
R4316	KF19Q41	YL43
R4325	KF19Q43	YL45
R4330	KF19Q44	YL46
R4341	KF19Q45	YL47
R4365	KF19Q51	YL53
R4368	KF19Q52	YL55
R4374	KF19Q54	YL57
R4376	KF19Q55	YL58
R4385	KF19Q56	YL59
R4386	KF19Q57	YL60
R4398	KF19Q58	YL61
R4405	KF19Q59	YL62
R4406	KF19Q60	YL63
R4413	KF19Q61	YL64
R4415	KF19Q62	YL65
R4422	KF19Q64	YL67
R4434	KF19Q66	YL69
R4437	KF19Q67	YL70
R4440	KF19Q69	YL72
R4455	KF19Q75	YL78
R4480	KF19Q83	YL86
R4487	KF19Q86	YL89
R4489	KF19Q87	YL90
R4500	KF19Q88	YL91
R4508	KF19Q91	YL94
R4518	KF19Q94	YL97
R4533	KF19Q98	YL101
R4547	KF19Q99	YL103
R4572	KF19Q100	YL105
R4576	KF19Q101	YL106
R4580	KF19Q102	YL107
R4627	KF19Q108	YL115
R4628	KF19Q109	YL116
R4635	KF19Q111	YL118
R4637	KF19Q112	YL119
R4640	KF19Q114	YL121
R4641	KF19Q115	YL122
R4646	KF19Q116	YL123
R4647	KF19Q117	YL124
R4654	KF19Q118	YL125
R4655	KF19Q119	YL126
R4667	KF19Q122	YL129
R4678	KF19Q123	YL130
R4680	KF19Q124	YL131
R4684	KF19Q125	YL132
R4689	KF19Q126	YL133
R4690	KF19Q127	YL134
R4695	KF19Q128	YL135
R4697	KF19Q130	YL137
R4698	KF19Q131	YL138
R4707	KF19Q132	YL139
R4713	KF19Q133	YL140
R4718	KF19Q134	YL142
R4720	KF19Q135	YL143
R4725	KF19Q138	YL146
R4728	KF19Q139	YL147
R4731	KF19Q140	YL148
R4743	KF19Q143	YL151
R4747	KF19Q144	YL152
R4748	KF19Q145	YL153
R4749	KF19Q146	YL154
R4755	KF19Q147	YL155
R4757	KF19Q149	YL157
R4758	KF19Q150	YL158
R4762	KF19Q151	YL159
R4763	KF19Q152	YL160
R4767	KF19Q154	YL162
R4773	KF19Q155	YL163
R4775	KF19Q156	YL164
R4779	KF19Q158	YL166
R4783	KF19Q159	YL167
R4784	KF19Q160	YL168
R4786	KF19Q161	YL169
R4792	KF19Q162	YL170
R4794	KF19Q163	YL171
R4796	KF19Q164	YL173
R4825	KF19Q172	YL180
R4835	KF19Q173	YL181
R4843	KF19Q175	YL183
R4849	KF19Q177	YL185
R4862	KF19Q179	YL187
R4868	KF19Q180	YL188
R4877	KF19Q184	YL192
R4879	KF19Q185	YL194
R4880	KF19Q186	YL195
R4897	KF19Q190	YL199
R4900	KF19Q191	YL200
R4905	KF19Q193	YL202
R4907	KF19Q195	YL204
R4910	KF19Q196	YL205
R4914	KF19Q197	YL206
R4917	KF19Q198	YL207
R4920	KF19Q199	YL208
R4921	KF19Q200	YL209
R4924	KF19Q201	YL210
R4944	KF19Q203	YL213
R4945	KF19Q204	YL214
R4950	KF19Q205	YL215
R4955	KF19Q206	YL216
R4978	KF19Q210	YL221
R4983	KF19Q211	YL222
R4987	KF19Q212	YL223
R5005	KF19Q218	YL229
R5008	KF19Q219	YL230
R5012	KF19Q221	YL232
R5014	KF19Q222	YL233
R5015	KF19Q223	YL234
R5017	KF19Q224	YL235
R5018	KF19Q225	YL236
R5019	KF19Q226	YL237
R5025	KF19Q228	YL239
R5030	KF19Q231	YL242
R5032	KF19Q232	YL243
R5036	KF19Q234	YL245
R5038	KF19Q235	YL246
R5039	KF19Q236	YL247
R5040	KF19Q237	YL248
R5041	KF19Q238	YL249
R5042	KF19Q239	YL250
R5043	KF19Q240	YL251
R5044	KF19Q241	YL252
R5045	KF19Q242	YL253
R5049	KF19Q245	YL256
R5051	KF19Q246	YL257
R5057	KF19Q247	YL258
R5058	KF19Q248	YL259
R5059	KF19Q249	YL260
R5064	KF19Q250	YL261
R5067	KF19Q251	YL262
R5073	KF19Q252	YL263
R5087	KF19Q253	YL264
R5091	KF19Q255	YL266
R5110	KF19Q257	YL269
R5112	KF19Q259	YL271
R5120	KF19Q260	YL272
R5124	KF19Q261	YL273
R5128	KF19Q262	YL274
R5129	KF19Q263	YL275
R5131	KF19Q265	YL277
R5132	KF19Q266	YL278
R5137	KF19Q267	YL279
R5142	KF19Q269	YL281
R5145	KF19Q270	YL282
R5148	KF19Q271	YL283
R5149	KF19Q272	YL284
R5152	KF19Q273	YL285
R5153	KF19Q274	YL286
R5156	KF19Q275	YL287
R5159	KF19Q276	YL288
R5161	KF19Q277	YL289
